UF,Cidade,Índice
CE,Tauá,"9,16"
ES,Viana,"9,16"
RN,Acari,"9,02"
PR,Arapoti,"9,02"
ES,Boa Esperança,"9,02"
SC,Bombinhas,"9,02"
SC,Irani,"9,02"
SC,Pomerode,"9,02"
RS,Porto Xavier,"9,02"
ES,Santa Leopoldina,"9,02"
RS,Santo Expedito do Sul,"9,02"
RS,São Paulo das Missões,"9,02"
TO,Sucupira,"9,02"
PE,Triunfo,"9,02"
SP,Barueri,"8,88"
PB,Mari,"8,88"
SC,Alfredo Wagner,"8,75"
RO,Ariquemes,"8,75"
SP,Bastos,"8,75"
MS,Brasilândia,"8,75"
PB,Camalaú,"8,75"
MG,Caparaó,"8,75"
RJ,Engenheiro Paulo de Frontin,"8,75"
SP,Franca,"8,75"
TO,Lajeado,"8,75"
SC,Nova Erechim,"8,75"
MG,Olaria,"8,75"
TO,Palmas²,"8,75"
RS,Poço das Antas,"8,75"
PB,Santa Cecília,"8,75"
PB,Santa Luzia,"8,75"
PE,Santa Terezinha,"8,75"
SC,Santa Terezinha,"8,75"
MT,São José do Rio Claro,"8,75"
TO,Taipas do Tocantins,"8,75"
PI,Valença do Piauí,"8,75"
CE,Varjota,"8,75"
ES,Vila Velha,"8,75"
PR,Cianorte,"8,61"
RS,Guaporé,"8,61"
RO,Monte Negro,"8,61"
PE,Olinda,"8,61"
BA,Paulo Afonso,"8,61"
PE,Sairé,"8,61"
BA,Santa Luzia,"8,61"
BA,Vitória da Conquista,"8,61"
RS,Capão do Cipó,"8,47"
TO,Dueré,"8,47"
RS,Ibirubá,"8,47"
MS,Miranda,"8,47"
PB,Natuba,"8,47"
AL,Passo de Camaragibe,"8,47"
MA,Pastos Bons,"8,47"
SP,Silveiras,"8,47"
PB,Assunção,"8,33"
PR,Bela Vista da Caroba,"8,33"
PB,Cabaceiras,"8,33"
GO,Caiapônia,"8,33"
SC,Correia Pinto,"8,33"
SC,Erval Velho,"8,33"
AM,Humaitá,"8,33"
SP,Igaraçu do Tietê,"8,33"
MS,Jaraguari,"8,33"
ES,Linhares,"8,33"
PB,Logradouro,"8,33"
MG,Monte Santo de Minas,"8,33"
RS,Porto Alegre²,"8,33"
CE,Quixeré,"8,33"
PB,São José do Sabugi,"8,33"
MT,Sinop,"8,33"
MS,Anastácio,"8,19"
RJ,Cachoeiras de Macacu,"8,19"
PR,Cascavel,"8,19"
MT,Comodoro,"8,19"
MT,Confresa,"8,19"
SC,Criciúma,"8,19"
MS,Deodápolis,"8,19"
ES,Iconha,"8,19"
AM,Itacoatiara,"8,19"
SC,Joinville,"8,19"
MT,Juruena,"8,19"
MG,Lagoa da Prata,"8,19"
MT,Nova Mutum,"8,19"
RS,Novo Machado,"8,19"
MT,Querência,"8,19"
SC,Santo Amaro da Imperatriz,"8,19"
RS,São Pedro da Serra,"8,19"
PB,Serra da Raiz,"8,19"
BA,Brotas de Macaúbas,"8,05"
ES,Itaguaçu,"8,05"
MG,Muzambinho,"8,05"
TO,Pugmil,"8,05"
CE,Quixadá,"8,05"
PB,Riacho dos Cavalos,"8,05"
RS,Agudo,"7,91"
RS,Cachoeirinha,"7,91"
MT,Canarana,"7,91"
MA,Cândido Mendes,"7,91"
PI,Cocal de Telha,"7,91"
SP,Dolcinópolis,"7,91"
PE,Fernando de Noronha,"7,91"
GO,Goiânia²,"7,91"
MA,Imperatriz,"7,91"
PR,Mangueirinha,"7,91"
MT,Paranaíta,"7,91"
TO,Pium,"7,91"
PB,Riacho de Santo Antônio,"7,91"
SP,Riolândia,"7,91"
BA,Salvador²,"7,91"
TO,Talismã,"7,91"
PE,Vertente do Lério,"7,91"
ES,Fundão,"7,77"
ES,Ibatiba,"7,77"
BA,Itatim,"7,77"
ES,Marechal Floriano,"7,77"
SC,Ouro Verde,"7,77"
MA,Parnarama,"7,77"
TO,Porto Alegre do Tocantins,"7,77"
MT,Rosário Oeste,"7,77"
ES,São Gabriel da Palha,"7,77"
SP,Barra do Turvo,"7,63"
PB,Bom Sucesso,"7,63"
MS,Campo Grande²,"7,63"
RS,Muitos Capões,"7,63"
PR,Ponta Grossa,"7,63"
MS,Agua Clara,"7,50"
SP,Alumínio,"7,50"
RS,Aratiba,"7,50"
MG,Arceburgo,"7,50"
SC,Balneário Arroio do Silva,"7,50"
PR,Barra do Jacaré,"7,50"
MS,Bataguassu,"7,50"
SC,Bela Vista do Toldo,"7,50"
SC,Bocaina do Sul,"7,50"
RS,Bom Progresso,"7,50"
SC,Campo Erê,"7,50"
RJ,Casimiro de Abreu,"7,50"
PB,Congo,"7,50"
SC,Cordilheira Alta,"7,50"
