id,cd_orgao,nr_licitacao,ano_licitacao,cd_tipo_modalidade,vl_licitacao,indicador1,indicador2,indicador3,indicador4
3,84100,1,2016,CNV,7000.00,0.91714287,1,0.67000002,0
4,78500,1,2016,TMP,300000.00,1.00001228,1,0.0,0
5,86800,6,2016,PRP,44000.00,1.0,0,0.0,0
6,79100,3,2016,PRP,18000.00,1.0,0,0.0,0
7,56700,8,2016,TMP,46920.00,0.40869564,0,0.0,0
8,60100,2,2016,TMP,37516.60,0.93292034,1,0.75,0
9,49201,4,2016,PRP,9887.78,0.93246412,0,0.0,0
10,63900,2,2016,PRP,10000.00,1.0,0,0.0,0
11,86800,2,2016,PRP,342000.00,1.0,0,0.0,0
12,79100,1,2016,TMP,350000.00,0.99943995,1,0.0,0
13,86800,4,2016,PRP,14875.92,0.85507315,0,0.0,0
14,86800,3,2016,TMP,59887.33,0.63001639,0,0.0,0
15,84100,21,2016,CNV,6600.00,0.9683333,1,0.67000002,0
16,62501,3,2016,CNV,14983.93,0.90089852,0,0.0,0
17,84100,12,2016,PRP,17340.00,0.00294118,0,0.67000002,0
18,84100,13,2016,CNV,3200.00,0.55937499,1,0.67000002,0
19,58400,1,2016,TMP,603070.66,0.95978898,1,0.33000001,0
20,69600,1,2016,PRP,244694.00,0.87864846,0,0.14,0
21,47701,1,2016,PRP,51085.00,0.93765295,0,0.0,0
22,77200,2,2016,PRP,4200.00,0.83333331,0,0.0,0
23,77200,3,2016,PRP,7970.00,0.94090337,0,0.0,0
25,45003,1,2016,TMP,583641.52,0.93000001,1,0.0,0
26,45003,1,2016,CNV,107345.80,0.99699998,1,0.0,0
27,51900,3,2016,PRP,276000.00,0.9956522,0,0.0,0
28,77200,10,2016,PRP,10000.00,0.94999999,0,0.0,0
29,82700,170,2016,PRP,4068.05,1.0,0,0.0,0
30,63900,5,2016,PRP,45000.00,0.37777779,0,0.0,0
31,88159,5,2016,PRE,72000.00,0.91666669,1,0.97000003,0
32,84100,2,2016,CNV,125.00,0.67919999,0,0.67000002,0
33,86800,5,2016,PRP,21000.00,0.93000001,0,0.0,0
34,62501,2,2016,CNV,5379.82,0.99501473,0,0.0,0
35,51900,4,2016,PRP,26400.00,0.95454544,0,0.0,0
36,77200,1,2016,CNV,65665.99,0.87657249,0,0.0,0
37,84100,33,2016,CNV,8000.00,0.99987501,1,0.67000002,0
38,54912,115,2016,PRE,110457.48,1.01723564,1,0.0,0
39,54901,14,2016,PRE,50088.50,0.68878084,0,0.0,0
40,80600,2,2016,TMP,267289.24,0.9998033,1,0.0,0
41,71500,1,2016,CNV,53000.00,1.0,0,0.0,0
42,56700,18,2016,CNV,82668.03,0.75821328,0,0.0,0
43,75000,3,2016,TMP,127222.85,0.99906981,1,0.0,0
44,54901,4,2016,PRE,36633.86,0.5855239,1,0.0,0
45,45003,2,2016,CNC,4279801.71,0.7590782,0,0.0,0
46,47500,9,2016,TMP,152992.00,0.69768351,1,0.0,0
47,84100,36,2016,PRP,4320.00,1.00694442,0,0.67000002,0
48,53100,1,2016,TMP,194040.77,0.83400035,0,0.0,0
49,62601,1,2016,CNV,26.90,1.24944234,0,0.0,0
50,57700,1,2016,CNV,17077.50,0.86605179,0,0.0,0
51,58400,21,2016,PRP,10136.63,0.92514968,0,0.33000001,0
52,55501,1,2016,TMP,85747.02,0.92990565,0,0.49000001,0
53,62700,4,2016,PRP,3973.58,0.72982049,0,0.0,0
54,58400,1,2016,CNC,2309094.37,0.99408877,1,0.33000001,0
55,57700,12,2016,PRP,30351.00,0.82366312,0,0.0,1
56,82400,5,2016,PRP,11300.00,1.23893809,0,0.0,1
57,59400,3,2016,CNV,18500.00,0.96967566,1,0.95999998,0
58,65300,14,2016,PRP,3000.00,0.99333334,0,0.0,0
59,54901,6,2016,PRE,172250.00,0.53991294,1,0.0,0
61,53411,7,2016,PRP,26132.88,0.66965449,0,0.0,0
62,53100,2,2016,TMP,899414.16,0.99863201,1,0.0,0
63,53411,8,2016,PRP,31990.00,0.90165675,0,0.0,0
64,88048,1,2016,CNC,1052297.74,0.99135906,0,0.0,0
65,42501,1,2016,CNV,33528.00,1.0,1,0.0,0
66,83400,10,2016,PRP,59880.00,1.0,0,0.49000001,0
67,62700,13,2016,TMP,66446.11,0.88527453,0,0.0,0
68,65300,13,2016,PRP,12000.00,1.0,0,0.0,0
69,52400,13,2016,TMP,13071.34,0.98383182,1,0.0,0
70,64100,10,2016,PRP,122742.00,0.81357676,0,0.0,0
71,45001,7,2016,PRP,6750.00,0.7407378,0,0.0,0
72,81500,7,2016,PRP,7200.00,0.91666669,0,0.0,0
73,64100,6,2016,PRE,32820.00,0.99817187,1,0.0,0
74,56801,5,2016,PRP,44969.78,0.77830046,0,0.56999999,1
75,65300,1,2016,TMP,318243.54,0.98781514,0,0.0,0
76,76600,1,2016,CNC,2052015.00,0.96992469,0,0.0,0
77,53411,6,2016,PRP,3953.50,1.0,0,0.0,0
78,59400,13,2016,PRP,230000.00,0.91260868,0,0.95999998,0
79,88024,2,2016,TMP,259345.22,0.96836072,0,0.0,0
80,54901,7,2016,PRE,431190.00,0.83477885,1,0.0,0
81,79100,2,2016,TMP,40000.00,0.67524999,0,0.0,0
82,58200,4,2016,TMP,52000.00,0.96153843,1,0.0,0
83,58200,5,2016,TMP,7200.00,0.94999999,1,0.0,0
84,64100,2,2016,PRP,40509.90,0.87800759,0,0.0,0
85,64100,3,2016,PRP,6720.00,2.98e-06,0,0.0,0
86,54901,12,2016,PRE,9811.45,0.57585782,0,0.0,0
87,54901,8,2016,PRE,179.50,0.88022286,1,0.0,0
88,78000,6,2016,CNV,14500.00,0.99753106,0,0.0,0
89,44500,9,2016,CNC,9161235.00,0.93551058,1,0.97000003,0
90,45004,33,2016,PRP,467293.65,0.66514301,0,0.0,0
91,47700,5,2016,CNC,660937.47,0.80037296,1,0.0,0
92,58200,6,2016,TMP,64698.00,0.9969396,1,0.0,0
