,vl_licitacao,indicador1,indicador2,indicador3,indicador4,Id,Prob,Grupo
1723,"44.472,00","0,9174",0,"0,4900",0,1813,"0,0000",-1
1724,"8.393,04","0,9608",0,"0,0000",0,1814,"0,2673",1
1725,"45.576,70","0,9941",1,"0,3300",0,1815,"0,0005",3
1726,"558.170,45","0,9958",1,"0,8200",0,1816,"0,0000",-1
1727,"542.209,70","0,9386",0,"0,0000",0,1817,"0,0315",1
1728,"20.399,98","0,9404",0,"0,0000",0,1818,"0,2640",1
1729,"98.482,76","0,9820",0,"0,0000",0,1819,"0,1759",1
1730,"73.177,37","0,6146",0,"0,7500",0,1820,"0,0000",-1
1731,"37.485,06","0,9392",0,"0,0000",0,1821,"0,2289",1
1732,"431.299,37","1,0590",0,"0,0000",0,1822,"0,0305",1
1733,"182.559,96","0,3177",0,"0,5000",0,1823,"0,0000",-1
1734,"40.228,25","1,0000",0,"0,0000",0,1824,"0,4432",1
1735,"14.831,48","0,7964",1,"0,0000",1,1825,"0,0000",-1
1736,"243.752,46","0,9874",1,"0,0000",0,1826,"1,0000",3
1737,"266.471,38","0,9896",1,"0,0000",0,1827,"1,0000",3
1738,"155.000,00","1,0000",1,"0,0000",0,1828,"0,9683",3
1739,"4.814,00","0,9998",0,"0,0000",0,1829,"0,9908",1
1740,"300.000,00","1,0000",0,"0,0000",0,1830,"0,0686",1
1741,"20.000,00","0,3250",0,"0,9600",0,1831,"1,0000",2
1742,"125.497,17","0,8302",0,"0,0000",0,1832,"0,0842",1
1743,"47.460,00","0,8846",0,"0,0000",0,1833,"0,1683",1
1744,"7.140,00","1,0000",0,"0,6700",0,1834,"1,0000",6
1745,"28.302,60","0,9917",0,"0,2800",0,1837,"1,0000",5
1746,"199.343,86","0,8673",0,"0,0000",0,1838,"0,0704",1
1747,"1.429.838,98","0,8022",0,"0,0000",0,1840,"0,0078",1
1748,"1.881.310,94","0,8516",1,"0,5700",0,1841,"1,0000",4
1749,"506.541,59","0,4828",0,"0,0000",0,1842,"0,0140",1
1750,"3.631.689,85","0,9492",1,"0,0000",0,1843,"0,0188",3
1751,"80.194,00","0,9999",0,"0,0000",0,1844,"0,2283",1
1752,"32.000,00","1,0000",0,"0,0000",0,1845,"0,6377",1
1753,"4.884.594,26","1,0000",1,"0,0000",0,1846,"0,0130",3
1754,"45.342,25","0,9550",0,"0,8800",0,1847,"0,0000",-1
1755,"81.000,00","0,7926",0,"0,0000",0,1848,"0,0990",1
1756,"503.660,74","0,9948",1,"0,2800",0,1849,"0,0005",3
1757,"22.601,90","0,9010",0,"0,7100",0,1850,"0,0000",-1
1758,"337.446,65","0,9989",1,"0,0000",0,1852,"0,7190",3
1759,"11.731,50","1,1010",0,"0,0000",0,1853,"0,0465",1
1760,"80.458,00","0,9849",0,"0,0000",0,1854,"0,2289",1
1761,"93.212,10","0,7402",0,"0,0000",0,1855,"0,0806",1
1762,"9.247,25","1,0792",1,"0,0000",0,1856,"0,6569",3
1763,"62.795,84","0,8549",0,"0,6800",0,1857,"1,0000",6
1764,"53.280,00","1,0000",0,"0,0000",0,1858,"0,3170",1
1765,"44.400,00","0,9973",1,"0,0000",0,1859,"1,0000",3
1766,"235.532,71","0,9986",1,"0,2200",0,1860,"0,0005",3
1767,"16.260,50","0,8776",0,"0,2200",0,1861,"1,0000",5
1768,"318.438,63","1,0000",0,"0,0000",0,1862,"0,0615",1
1769,"10.078,80","0,9935",0,"0,4000",0,1863,"0,0000",-1
1770,"10.279,71","0,9448",0,"0,0000",0,1864,"0,2463",1
1771,"1.354.433,41","1,0299",0,"0,0000",0,1866,"0,0079",1
1772,"195.000,00","0,9718",0,"0,0000",0,1867,"0,0900",1
1773,"18.000,00","1,0000",1,"0,0000",0,1868,"1,0000",3
1774,"336.480,00","0,8878",0,"0,0000",0,1869,"0,0584",1
1775,"3.000,00","0,5000",0,"0,0000",0,1870,"0,0562",1
1776,"13.000,00","0,5462",0,"0,4000",0,1871,"0,0000",-1
1777,"8.930,00","0,8835",0,"0,4000",0,1872,"0,0000",-1
1778,"28.880,00","0,3427",0,"0,0000",0,1873,"0,0338",1
1779,"12.000,00","1,0000",0,"0,0000",0,1874,"1,0000",1
1780,"15.000,00","0,9867",0,"0,0000",0,1875,"0,4161",1
1781,"3.908,00","0,8635",1,"0,0000",0,1876,"0,7720",3
1782,"189.060,00","0,2894",0,"0,0000",0,1877,"0,0215",1
1783,"305.000,00","0,9836",0,"0,0000",0,1878,"0,0722",1
1784,"18.770,03","0,9882",1,"0,0000",0,1879,"1,0000",3
1785,"16.662,00","1,0000",0,"0,8200",0,1880,"0,0000",-1
1786,"37.539,85","0,9855",0,"0,0000",0,1881,"0,3271",1
1787,"149.351,31","0,9897",0,"0,0600",0,1882,"0,0001",1
1788,"49.500,00","0,6606",0,"0,0000",0,1883,"0,0931",1
1789,"16.500,00","0,9837",0,"0,0000",0,1884,"0,3866",1
