id,cd_orgao,nr_licitacao,ano_licitacao,cd_tipo_modalidade,vl_licitacao,indicador1,indicador2,indicador3,indicador4
9979,67800,7,2018,TMP,330721.89,0.99776971,1,0.14,0
9989,50900,4,2018,TMP,66108.69,0.88995802,1,0.0,0
9990,50900,5,2018,TMP,396544.10,1.0,1,0.0,0
9994,58400,4,2018,TMP,264646.64,0.75167537,1,0.33000001,0
10005,82700,222,2018,TMP,201812.42,0.96499985,1,0.0,0
10026,57201,2,2018,TMP,41013.09,0.9997564,1,0.0,0
10027,57201,1,2018,TMP,35647.32,0.90407467,1,0.0,0
10028,80600,4,2018,TMP,1378037.30,0.83976835,1,0.0,0
10036,46700,8,2018,TMP,780427.94,0.93973875,1,0.0,0
10037,46700,1,2018,CNC,3655254.23,0.95578086,1,0.0,0
10040,69600,3,2018,TMP,389622.91,0.81937546,1,0.14,0
10041,41200,10,2018,TMP,71705.24,0.99003839,1,0.0,0
10044,84301,1,2018,TMP,119939.28,0.88880247,1,0.0,0
10047,50200,5,2018,TMP,286.39,999.11657715,1,0.0,0
10048,50200,4,2018,TMP,224527.96,0.99999654,1,0.0,0
10050,51400,2,2018,CNC,268236.61,0.98996991,0,0.0,0
10054,45000,201,2018,TMP,52871.86,0.93195301,1,0.0,0
10055,45000,199,2018,TMP,698713.44,0.91240388,1,0.0,0
10056,88027,10,2018,TMP,684821.24,0.99969238,1,0.85000002,0
10057,53401,2,2018,TMP,829115.57,0.88999158,1,0.0,0
10059,42100,8,2018,TMP,47205.59,0.84997076,1,0.0,0
