,Id,Grupo,Prob
0,3,4,1.0
1,4,3,1.0
2,5,1,0.3868899260761088
3,6,1,0.9400000000000002
4,7,1,0.046851262853634265
5,8,4,1.0
6,9,1,0.22609205647594263
7,10,1,1.0
8,11,1,0.052284554774370724
9,12,3,0.6567815804724486
10,13,1,0.17997974499322258
11,14,1,0.07968601131606451
12,15,4,1.0
13,16,1,0.21624686175723074
14,17,6,0.9989547920333047
15,18,4,1.0
16,19,3,0.00047784996008090695
17,20,-1,0.0
18,21,1,0.18340392443364537
19,22,1,0.14031430374140444
20,23,1,0.22260555540692792
21,25,3,0.22096722283004713
22,26,3,1.0
23,27,1,0.0782641792789221
24,28,1,0.2616714327098147
25,29,1,0.9548211349783803
26,30,1,0.040248202612170644
27,31,-1,0.0
28,32,6,1.0
29,33,1,0.24005810446131345
30,34,1,0.7347881985336152
31,35,1,0.2576635655112088
32,36,1,0.13851590400579142
33,37,4,1.0
34,38,3,1.0
35,39,1,0.10316974533796607
36,40,3,1.0
37,41,1,0.3219178082191779
38,42,1,0.08875654112885685
39,43,3,1.0
40,44,3,0.27374227682690855
41,45,1,0.0016165951606252609
42,46,3,0.3460369703686069
43,47,6,1.0
44,48,1,0.06842216071631683
45,49,1,0.019042894064608833
46,50,1,0.1888934895433202
47,51,-1,0.0
48,52,-1,0.0
49,53,1,0.10469115241259486
50,54,3,0.00047777112856432297
51,55,0,1.0
52,56,0,1.0
53,57,-1,0.0
54,58,1,0.6053830474737304
55,59,3,0.22411322161420666
56,61,1,0.10271379066429807
57,62,3,0.1280426199037805
58,63,1,0.21361013511144722
59,64,1,0.011596730190901808
60,65,3,1.0
61,66,-1,0.0
62,67,1,0.13904958906693252
63,68,1,1.0
64,69,3,1.0
65,70,1,0.08265433867835816
66,71,1,0.11190966655060657
67,72,1,0.1967597162971715
68,73,3,1.0
69,74,0,0.24563808180747893
70,75,1,0.06527241787845016
71,76,1,0.004583213444457473
72,77,1,0.9482497730253203
73,78,2,1.0
74,79,1,0.08875122523287615
75,80,3,0.2758806164221574
76,81,1,0.10349916580300786
77,82,3,1.0
78,83,3,1.0
79,84,1,0.17663939090877157
80,85,1,0.010494333467335052
81,86,1,0.06977974931527267
82,87,3,0.7967834981707681
83,88,1,0.915679578837877
84,89,-1,0.0
85,90,1,0.02239250603803958
86,91,3,0.1643322376085648
87,92,3,1.0
88,93,1,0.014348813806825442
89,94,0,1.0
90,95,1,0.03941484562567008
91,96,3,1.0
92,97,1,0.27223333989991966
93,98,6,1.0
94,99,3,0.12518720236714934
95,100,1,0.07580645161290316
96,101,1,0.19630518343748
97,102,1,0.07815799591571905
98,103,3,1.0
99,104,3,1.0
100,105,1,0.03171739831756184
101,106,3,1.0
102,107,3,1.0
103,108,1,0.0873383299441597
104,109,1,0.13729559102342004
105,110,3,1.0
106,111,-1,0.0
107,112,1,0.29841958133159374
108,113,1,0.3152594732575383
109,114,1,0.08867288085635237
110,115,3,0.9680383816689867
111,116,6,1.0
112,117,1,0.6266666666666664
113,118,0,0.2089756237779199
114,119,6,1.0
115,120,0,1.0
116,121,6,1.0
117,122,1,0.23632619615678302
118,123,3,0.027196474257293796
119,124,3,1.0
120,125,1,0.1282209612600179
121,126,-1,0.0
122,127,1,0.120368143965222
123,128,-1,0.0
124,129,6,1.0
125,130,2,1.0
126,131,3,0.7545676671221986
127,132,2,0.9999775644562212
128,133,6,1.0
129,134,1,0.07002823560259164
130,135,1,0.05754362953426562
131,136,3,0.3017872540815694
132,137,1,0.08093880489823356
133,138,-1,0.0
134,139,6,1.0
135,140,1,0.05356260689938437
136,141,1,0.15036837991226853
137,142,3,1.0
138,144,1,0.0021692697966227744
139,145,3,0.09653981745511415
140,146,3,0.015736109119511656
141,147,3,0.2664409607947832
142,148,-1,0.0
143,149,4,1.0
144,150,3,0.11150868006113394
145,151,3,1.0
146,152,-1,0.0
147,153,4,1.0
148,154,1,0.1746278841763574
149,155,1,0.16797893818814752
150,156,3,0.0004778523874803378
151,158,3,1.0
152,159,-1,0.0
153,160,7,0.06537833978820756
154,161,1,0.1873111395332299
155,162,1,0.38020217117582694
156,163,1,0.03791340984154254
157,164,1,0.027368284172795774
158,165,6,1.0
159,166,-1,0.0
160,167,3,1.0
161,168,3,1.0
